OBJECTID,SRA (at original adoption/recommendation),SRA (SRA22_2),FHSZ,FHSZ_Description,FHSZ_7Class,Shape__Area,Shape__Length
2945,,SRA,1,Moderate,SRA Moderate,135900,2340
2946,,SRA,1,Moderate,SRA Moderate,841500,8460
2947,,SRA,1,Moderate,SRA Moderate,1174500,7560
2948,,SRA,1,Moderate,SRA Moderate,2196900,11880
2949,,SRA,1,Moderate,SRA Moderate,7899.71179580688,356.56753812585
2950,,SRA,1,Moderate,SRA Moderate,11685.0011281967,435.755981569161
2951,,SRA,1,Moderate,SRA Moderate,4913.33669185638,464.817261243831
2952,,SRA,1,Moderate,SRA Moderate,790200,9840
2953,,SRA,1,Moderate,SRA Moderate,1883952.02488995,11121.0261877511
2954,,SRA,1,Moderate,SRA Moderate,0.218454360961914,2.2449681442883
2955,,SRA,1,Moderate,SRA Moderate,3539.56499996781,298.65747109531
2956,,SRA,1,Moderate,SRA Moderate,4324.42963981628,375.740662462503
2957,,SRA,1,Moderate,SRA Moderate,7381.49399995804,423.025528234076
2958,,SRA,1,Moderate,SRA Moderate,1122473.29143202,10964.4064405257
2959,,SRA,1,Moderate,SRA Moderate,106168.815668106,1682.983665726
2960,,SRA,1,Moderate,SRA Moderate,21287.9720649719,798.445517368009
2961,,SRA,1,Moderate,SRA Moderate,150300,2460
2962,,SRA,1,Moderate,SRA Moderate,3195.77765464783,235.489078813094
2963,,SRA,1,Moderate,SRA Moderate,90900,1740
2964,,SRA,1,Moderate,SRA Moderate,1702145.26159668,16299.4689849452
2965,,SRA,1,Moderate,SRA Moderate,25678.1762275696,838.948207437195
2966,,SRA,1,Moderate,SRA Moderate,3287700,16140
2967,,SRA,1,Moderate,SRA Moderate,298629.068897247,4232.34725818565
2968,,SRA,1,Moderate,SRA Moderate,883800,6420
2969,,SRA,1,Moderate,SRA Moderate,140679.26900053,2138.3176772706
2970,,SRA,1,Moderate,SRA Moderate,13440.1622266769,578.638804719993
2971,,SRA,1,Moderate,SRA Moderate,107988435.473602,224939.042952907
2972,,SRA,1,Moderate,SRA Moderate,176400,2460
2973,,SRA,1,Moderate,SRA Moderate,3034072.10854065,10801.2501309305
2974,,SRA,1,Moderate,SRA Moderate,3946.84470415115,453.888552252834
2975,,SRA,1,Moderate,SRA Moderate,15542246.5035419,50832.6922957206
2976,,SRA,1,Moderate,SRA Moderate,820800,6480
2977,,SRA,1,Moderate,SRA Moderate,89607.5094566345,1838.13490022117
