,zipcode,class,city,county,Area Code(s),pop,% of Population% of Pop
99,90202 ,P.O. Box,Bell,Los Angeles,323 / 738,0,0.00%
100,90205 ,Unique,Bell Gardens,Los Angeles,310 / 323 / 424 / 738,0,0.00%
101,90209 ,P.O. Box,Beverly Hills,Los Angeles,310 / 323 / 424 / 738,0,0.00%
102,90210,Standard,Beverly Hills,Los Angeles,310 / 323 / 424 / 738,"21,134",0.05%
103,90211,Standard,Beverly Hills,Los Angeles,310 / 323 / 424 / 738,"8,260",0.02%
104,90212,Standard,Beverly Hills,Los Angeles,310 / 323 / 424 / 738,"11,451",0.03%
105,90213 ,P.O. Box,Beverly Hills,Los Angeles,310 / 323 / 424 / 738,0,0.00%
106,90220,Standard,Compton,Los Angeles,310 / 323 / 424 / 562 / 738,"50,412",0.13%
107,90221,Standard,Compton,Los Angeles,310 / 323 / 424 / 562 / 738,"52,561",0.13%
108,90222,Standard,Compton,Los Angeles,310 / 323 / 424 / 562 / 738,"32,397",0.08%
109,90223 ,P.O. Box,Compton,Los Angeles,310 / 323 / 424 / 562 / 738,0,0.00%
110,90224 ,P.O. Box,Compton,Los Angeles,310 / 323 / 424 / 562 / 738,0,0.00%
111,90230,Standard,Culver City,Los Angeles,310 / 323 / 424 / 738,"32,743",0.08%
112,90231 ,P.O. Box,Culver City,Los Angeles,310 / 323 / 424 / 738,0,0.00%
113,90232,Standard,Culver City,Los Angeles,310 / 323 / 424 / 738,"16,452",0.04%
114,90239 ,P.O. Box,Downey,Los Angeles,562,0,0.00%
115,90240,Standard,Downey,Los Angeles,562,"26,495",0.07%
116,90241,Standard,Downey,Los Angeles,562,"44,921",0.11%
117,90242,Standard,Downey,Los Angeles,562,"42,939",0.11%
118,90245,Standard,El Segundo,Los Angeles,310 / 424,"17,272",0.04%
119,90247,Standard,Gardena,Los Angeles,213 / 310 / 323 / 424 / 562 / 738,"48,543",0.12%
120,90248,Standard,Gardena,Los Angeles,213 / 310 / 323 / 424 / 562 / 738,"11,295",0.03%
121,90249,Standard,Gardena,Los Angeles,213 / 310 / 323 / 424 / 562 / 738,"27,125",0.07%
122,90250,Standard,Hawthorne,Los Angeles,310 / 323 / 424 / 738,"97,653",0.25%
123,90251 ,P.O. Box,Hawthorne,Los Angeles,310 / 323 / 424 / 738,0,0.00%
124,90254,Standard,Hermosa Beach,Los Angeles,424 / 310,"19,736",0.05%
125,90255,Standard,Huntington Park,Los Angeles,213 / 323 / 738,"71,157",0.18%
126,90260,Standard,Lawndale,Los Angeles,424 / 310,"33,338",0.08%
127,90262,Standard,Lynwood,Los Angeles,323 / 738,"67,099",0.17%
128,90263 ,Unique,Malibu,Los Angeles,310 / 424,"1,972",0.00%
129,90264 ,P.O. Box,Malibu,Los Angeles,424 / 310,0,0.00%
130,90265,Standard,Malibu,Los Angeles,424 / 310,"15,186",0.04%
131,90266,Standard,Manhattan Beach,Los Angeles,310,"35,506",0.09%
132,90267 ,P.O. Box,Manhattan Beach,Los Angeles,310,0,0.00%
133,90270,Standard,Maywood,Los Angeles,323 / 738,"25,113",0.06%
134,90272,Standard,Pacific Palisades,Los Angeles,424,"22,849",0.06%
135,90274,Standard,Palos Verdes Peninsula,Los Angeles,310,"25,307",0.06%
136,90275,Standard,Rancho Palos Verdes,Los Angeles,310,"42,452",0.11%
137,90277,Standard,Redondo Beach,Los Angeles,424 / 310,"37,856",0.10%
138,90278,Standard,Redondo Beach,Los Angeles,424 / 310,"42,188",0.11%
139,90280,Standard,South Gate,Los Angeles,323 / 738,"92,678",0.23%
140,90290,Standard,Topanga,Los Angeles,424 / 310,"6,640",0.02%
141,90291,Standard,Venice,Los Angeles,310 / 424,"28,442",0.07%
142,90292,Standard,Marina Del Rey,Los Angeles,310 / 424,"27,681",0.07%
143,90293,Standard,Playa Del Rey,Los Angeles,310 / 424,"12,633",0.03%
144,90294 ,P.O. Box,Venice,Los Angeles,310 / 424,0,0.00%
145,90295 ,P.O. Box,Marina Del Rey,Los Angeles,310 / 424,0,0.00%
146,90296 ,P.O. Box,Playa Del Rey,Los Angeles,310 / 424,0,0.00%
147,90301,Standard,Inglewood,Los Angeles,310 / 323 / 424 / 738,"36,270",0.09%
148,90302,Standard,Inglewood,Los Angeles,310 / 323 / 424 / 738,"29,264",0.07%
149,90303,Standard,Inglewood,Los Angeles,310,"24,490",0.06%
150,90304,Standard,Inglewood,Los Angeles,424 / 310,"26,058",0.07%
151,90305,Standard,Inglewood,Los Angeles,424 / 310,"15,367",0.04%
152,90306 ,P.O. Box,Inglewood,Los Angeles,310 / 323 / 424 / 738,0,0.00%
153,90307 ,P.O. Box,Inglewood,Los Angeles,310 / 323 / 424 / 738,0,0.00%
154,90308 ,P.O. Box,Inglewood,Los Angeles,310 / 323 / 424 / 738,0,0.00%
155,90309 ,P.O. Box,Inglewood,Los Angeles,310 / 323 / 424 / 738,0,0.00%
156,90310 ,P.O. Box,Inglewood,Los Angeles,310 / 323 / 424 / 738,0,0.00%
157,90311,Standard,Inglewood,Los Angeles,310 / 323 / 424 / 738,0,0.00%
158,90312 ,P.O. Box,Inglewood,Los Angeles,310 / 323 / 424 / 738,0,0.00%
159,90401,Standard,Santa Monica,Los Angeles,310 / 424,"8,167",0.02%
160,90402,Standard,Santa Monica,Los Angeles,310,"12,295",0.03%
161,90403,Standard,Santa Monica,Los Angeles,310 / 424,"25,278",0.06%
162,90404,Standard,Santa Monica,Los Angeles,310 / 424,"21,995",0.06%
163,90405,Standard,Santa Monica,Los Angeles,310 / 424,"27,966",0.07%
164,90406 ,P.O. Box,Santa Monica,Los Angeles,310 / 424,0,0.00%
165,90407 ,P.O. Box,Santa Monica,Los Angeles,310 / 424,0,0.00%
166,90408 ,P.O. Box,Santa Monica,Los Angeles,310 / 424,0,0.00%
167,90409 ,P.O. Box,Santa Monica,Los Angeles,310 / 424,0,0.00%
168,90410 ,P.O. Box,Santa Monica,Los Angeles,310 / 424,0,0.00%
169,90411 ,P.O. Box,Santa Monica,Los Angeles,310 / 424,0,0.00%
170,90501,Standard,Torrance,Los Angeles,310 / 424,"43,990",0.11%
171,90502,Standard,Torrance,Los Angeles,310 / 424,"18,977",0.05%
172,90503,Standard,Torrance,Los Angeles,310 / 424,"45,386",0.11%
173,90504,Standard,Torrance,Los Angeles,310 / 424,"32,503",0.08%
174,90505,Standard,Torrance,Los Angeles,310,"36,643",0.09%
175,90506,Standard,Torrance,Los Angeles,310 / 424,0,0.00%
176,90507 ,P.O. Box,Torrance,Los Angeles,310 / 424,0,0.00%
177,90508 ,P.O. Box,Torrance,Los Angeles,310 / 424,0,0.00%
178,90509 ,P.O. Box,Torrance,Los Angeles,310 / 424,0,0.00%
179,90510 ,P.O. Box,Torrance,Los Angeles,310 / 424,0,0.00%
180,90601,Standard,Whittier,Los Angeles,562,"32,625",0.08%
181,90602,Standard,Whittier,Los Angeles,562,"25,521",0.06%
182,90603,Standard,Whittier,Los Angeles,562,"21,174",0.05%
183,90604,Standard,Whittier,Los Angeles,562,"40,110",0.10%
184,90605,Standard,Whittier,Los Angeles,562,"40,189",0.10%
185,90606,Standard,Whittier,Los Angeles,562,"32,078",0.08%
186,90607 ,P.O. Box,Whittier,Los Angeles,562,0,0.00%
187,90608 ,P.O. Box,Whittier,Los Angeles,562,0,0.00%
188,90609 ,P.O. Box,Whittier,Los Angeles,562,0,0.00%
189,90610 ,P.O. Box,Whittier,Los Angeles,562,0,0.00%
190,90620,Standard,Buena Park,Orange,714 / 657,"46,564",0.12%
191,90621,Standard,Buena Park,Orange,714 / 657,"36,972",0.09%
192,90622 ,P.O. Box,Buena Park,Orange,714 / 657,0,0.00%
193,90623,Standard,La Palma,Orange,714 / 657,"15,906",0.04%
194,90624 ,P.O. Box,Buena Park,Orange,714 / 657,0,0.00%
195,90630,Standard,Cypress,Orange,714 / 657,"49,965",0.13%
196,90631,Standard,La Habra,Orange,562,"69,533",0.18%
197,90632 ,P.O. Box,La Habra,Orange,562,0,0.00%
198,90633 ,P.O. Box,La Habra,Orange,562,0,0.00%
199,90637 ,P.O. Box,La Mirada,Los Angeles,562,0,0.00%
200,90638,Standard,La Mirada,Los Angeles,714,"46,967",0.12%
