,zipcode,class,city,county,Area Code(s),pop,% of Population% of Pop
672,92158 ,Unique,San Diego,San Diego,619,0,0.00%
673,92159 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
674,92160 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
675,92161 ,Unique,San Diego,San Diego,858 / 619,66,0.00%
676,92163 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
677,92165 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
678,92166 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
679,92167 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
680,92168 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
681,92169 ,P.O. Box,San Diego,San Diego,619,0,0.00%
682,92170 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
683,92171 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
684,92172 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
685,92173,Standard,San Ysidro,San Diego,619,"29,703",0.08%
686,92174 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
687,92175 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
688,92176 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
689,92177 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
690,92178 ,P.O. Box,Coronado,San Diego,619 / 858,0,0.00%
691,92179 ,P.O. Box,San Diego,San Diego,619 / 858,"3,824",0.01%
692,92182 ,Unique,San Diego,San Diego,619,27,0.00%
693,92186 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
694,92187 ,Unique,San Diego,San Diego,619 / 858,0,0.00%
695,92191 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
696,92192 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
697,92193 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
698,92195 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
699,92196 ,P.O. Box,San Diego,San Diego,619 / 858,0,0.00%
700,92197 ,P.O. Box,San Diego,San Diego,619,0,0.00%
701,92198 ,P.O. Box,San Diego,San Diego,858 / 619,0,0.00%
702,92199,Standard,San Diego,San Diego,619 / 858,0,0.00%
703,92201,Standard,Indio,Riverside,760 / 442,"66,989",0.17%
704,92202 ,P.O. Box,Indio,Riverside,760 / 442,0,0.00%
705,92203,Standard,Indio,Riverside,760 / 442,"31,366",0.08%
706,92210,Standard,Indian Wells,Riverside,760 / 442,"4,757",0.01%
707,92211,Standard,Palm Desert,Riverside,760 / 442,"26,403",0.07%
708,92220,Standard,Banning,Riverside,951,"32,947",0.08%
709,92222 ,P.O. Box,Bard,Imperial,442 / 760,64,0.00%
710,92223,Standard,Beaumont,Riverside,840 / 909,"59,924",0.15%
711,92225,Standard,Blythe,Riverside,760 / 442,"21,104",0.05%
712,92226 ,P.O. Box,Blythe,Riverside,760 / 442,0,0.00%
713,92227,Standard,Brawley,Imperial,442 / 760,"27,492",0.07%
714,92230,Standard,Cabazon,Riverside,951,"2,650",0.01%
715,92231,Standard,Calexico,Imperial,442 / 760,"39,542",0.10%
716,92232 ,P.O. Box,Calexico,Imperial,442 / 760,0,0.00%
717,92233,Standard,Calipatria,Imperial,760 / 442,"7,019",0.02%
718,92234,Standard,Cathedral City,Riverside,760,"51,509",0.13%
719,92235 ,P.O. Box,Cathedral City,Riverside,760,0,0.00%
720,92236,Standard,Coachella,Riverside,760,"42,220",0.11%
721,92239 ,P.O. Box,Desert Center,Riverside,760 / 442,292,0.00%
722,92240,Standard,Desert Hot Springs,Riverside,760 / 442,"40,920",0.10%
723,92241,Standard,Desert Hot Springs,Riverside,760 / 442,"9,270",0.02%
724,92242,Standard,Earp,San Bernardino,760 / 442,"1,231",0.00%
725,92243,Standard,El Centro,Imperial,760 / 442,"49,149",0.12%
726,92244 ,P.O. Box,El Centro,Imperial,760 / 442,0,0.00%
727,92247 ,P.O. Box,La Quinta,Riverside,760,0,0.00%
728,92248 ,P.O. Box,La Quinta,Riverside,760,0,0.00%
729,92249,Standard,Heber,Imperial,442 / 760,"6,975",0.02%
730,92250,Standard,Holtville,Imperial,760 / 442,"7,883",0.02%
731,92251,Standard,Imperial,Imperial,760 / 442,"25,851",0.07%
732,92252,Standard,Joshua Tree,San Bernardino,442 / 760,"8,463",0.02%
733,92253,Standard,La Quinta,Riverside,760,"37,422",0.09%
734,92254,Standard,Mecca,Riverside,760 / 442,"12,414",0.03%
735,92255 ,P.O. Box,Palm Desert,Riverside,760 / 442,0,0.00%
736,92256,Standard,Morongo Valley,San Bernardino,442 / 760,"3,517",0.01%
737,92257,Standard,Niland,Imperial,760 / 442,"1,676",0.00%
738,92258 ,P.O. Box,North Palm Springs,Riverside,760 / 442 / 951,"1,236",0.00%
739,92259 ,P.O. Box,Ocotillo,Imperial,760 / 442,328,0.00%
740,92260,Standard,Palm Desert,Riverside,760 / 442,"31,641",0.08%
741,92261 ,P.O. Box,Palm Desert,Riverside,760 / 442,0,0.00%
742,92262,Standard,Palm Springs,Riverside,760 / 442 / 951,"26,593",0.07%
743,92263 ,P.O. Box,Palm Springs,Riverside,760 / 442 / 951,0,0.00%
744,92264,Standard,Palm Springs,Riverside,760 / 442 / 951,"19,254",0.05%
745,92266 ,P.O. Box,Palo Verde,Imperial,442 / 760,198,0.00%
746,92267 ,P.O. Box,Parker Dam,San Bernardino,760,86,0.00%
747,92268 ,P.O. Box,Pioneertown,San Bernardino,442 / 760,489,0.00%
748,92270,Standard,Rancho Mirage,Riverside,760,"16,999",0.04%
749,92273 ,P.O. Box,Seeley,Imperial,760 / 442,"1,694",0.00%
750,92274,Standard,Thermal,Riverside,760 / 442,"19,251",0.05%
751,92275 ,P.O. Box,Salton City,Imperial,760 / 442,"1,390",0.00%
752,92276,Standard,Thousand Palms,Riverside,760,"7,953",0.02%
753,92277,Standard,Twentynine Palms,San Bernardino,760 / 442,"23,988",0.06%
754,92278 ,P.O. Box,Twentynine Palms,San Bernardino,760 / 442,"6,371",0.02%
755,92280,Standard,Vidal,San Bernardino,442,26,0.00%
756,92281 ,P.O. Box,Westmorland,Imperial,760 / 442,"2,122",0.01%
757,92282,Standard,Whitewater,Riverside,442,"1,350",0.00%
758,92283,Standard,Winterhaven,Imperial,442 / 760,"2,695",0.01%
759,92284,Standard,Yucca Valley,San Bernardino,760 / 442,"25,931",0.07%
760,92285,Standard,Landers,San Bernardino,760 / 442,"2,769",0.01%
761,92286 ,P.O. Box,Yucca Valley,San Bernardino,760 / 442,0,0.00%
762,92301,Standard,Adelanto,San Bernardino,760 / 442,"38,912",0.10%
763,92304 ,P.O. Box,Amboy,San Bernardino,442,17,0.00%
764,92305,Standard,Angelus Oaks,San Bernardino,840 / 909,581,0.00%
765,92307,Standard,Apple Valley,San Bernardino,760 / 442,"41,649",0.11%
766,92308,Standard,Apple Valley,San Bernardino,760 / 442,"42,469",0.11%
767,92309,Standard,Baker,San Bernardino,760 / 442,452,0.00%
768,92310,Standard,Fort Irwin,San Bernardino,760 / 442,"8,102",0.02%
769,92311,Standard,Barstow,San Bernardino,760 / 442,"34,524",0.09%
770,92312 ,P.O. Box,Barstow,San Bernardino,760 / 442,0,0.00%
771,92313,Standard,Grand Terrace,San Bernardino,840 / 909 / 951,"13,150",0.03%
772,92314,Standard,Big Bear City,San Bernardino,909 / 442 / 840,"10,411",0.03%
773,92315,Standard,Big Bear Lake,San Bernardino,840 / 909,"5,148",0.01%
774,92316,Standard,Bloomington,San Bernardino,909 / 840,"31,463",0.08%
775,92317 ,P.O. Box,Blue Jay,San Bernardino,909 / 840,"1,089",0.00%
776,92318,Standard,Bryn Mawr,San Bernardino,909 / 840 / 951,0,0.00%
777,92320,Standard,Calimesa,Riverside,909 / 840,"10,036",0.03%
778,92321 ,P.O. Box,Cedar Glen,San Bernardino,909 / 840,"1,310",0.00%
779,92322 ,P.O. Box,Cedarpines Park,San Bernardino,909 / 442 / 760 / 840,"1,441",0.00%
780,92323,Standard,Cima,San Bernardino,442 / 760,0,0.00%
781,92324,Standard,Colton,San Bernardino,909 / 840 / 951,"58,626",0.15%
782,92325 ,P.O. Box,Crestline,San Bernardino,909 / 840,"9,892",0.03%
783,92327,Standard,Daggett,San Bernardino,760 / 442,484,0.00%
784,92328,Standard,Death Valley,Inyo,760 / 442,640,0.00%
785,92329 ,P.O. Box,Phelan,San Bernardino,760 / 442,0,0.00%
786,92331 ,P.O. Box,Fontana,San Bernardino,909 / 840,0,0.00%
787,92332,Standard,Essex,San Bernardino,760 / 442,97,0.00%
788,92333 ,P.O. Box,Fawnskin,San Bernardino,840 / 909,510,0.00%
789,92334 ,P.O. Box,Fontana,San Bernardino,909 / 840,0,0.00%
790,92335,Standard,Fontana,San Bernardino,909 / 840,"96,605",0.24%
791,92336,Standard,Fontana,San Bernardino,909 / 840,"100,594",0.25%
792,92337,Standard,Fontana,San Bernardino,909 / 840,"36,394",0.09%
793,92338,Standard,Ludlow,San Bernardino,442,0,0.00%
794,92339,Standard,Forest Falls,San Bernardino,840 / 909,"1,053",0.00%
795,92340 ,P.O. Box,Hesperia,San Bernardino,760 / 442,0,0.00%
796,92341 ,P.O. Box,Green Valley Lake,San Bernardino,840 / 909,458,0.00%
797,92342,Standard,Helendale,San Bernardino,760,"6,955",0.02%
798,92344,Standard,Hesperia,San Bernardino,442 / 760,"23,166",0.06%
799,92345,Standard,Hesperia,San Bernardino,760 / 442,"86,499",0.22%
800,92346,Standard,Highland,San Bernardino,909 / 840,"57,812",0.15%
801,92347,Standard,Hinkley,San Bernardino,442 / 760,888,0.00%
802,92350 ,Unique,Loma Linda,San Bernardino,909 / 840 / 951,258,0.00%
803,92352 ,P.O. Box,Lake Arrowhead,San Bernardino,909 / 840,"7,038",0.02%
804,92354,Standard,Loma Linda,San Bernardino,909 / 840 / 951,"22,626",0.06%
805,92356,Standard,Lucerne Valley,San Bernardino,760 / 442,"6,050",0.02%
806,92357 ,Unique,Loma Linda,San Bernardino,909 / 840 / 951,0,0.00%
807,92358,Standard,Lytle Creek,San Bernardino,760,834,0.00%
808,92359,Standard,Mentone,San Bernardino,909 / 840,"8,900",0.02%
809,92363,Standard,Needles,San Bernardino,760 / 442,"5,634",0.01%
810,92364,Standard,Nipton,San Bernardino,760 / 442,40,0.00%
811,92365,Standard,Newberry Springs,San Bernardino,760 / 442,"2,214",0.01%
812,92366,Standard,Mountain Pass,San Bernardino,442 / 760,0,0.00%
813,92368,Standard,Oro Grande,San Bernardino,760 / 442,858,0.00%
814,92369 ,P.O. Box,Patton,San Bernardino,909 / 840,"1,481",0.00%
815,92371,Standard,Phelan,San Bernardino,760 / 442,"16,345",0.04%
816,92372,Standard,Pinon Hills,San Bernardino,760 / 661 / 442,"5,594",0.01%
817,92373,Standard,Redlands,San Bernardino,909 / 840,"35,348",0.09%
818,92374,Standard,Redlands,San Bernardino,909 / 840,"43,587",0.11%
819,92375 ,P.O. Box,Redlands,San Bernardino,909 / 840,0,0.00%
820,92376,Standard,Rialto,San Bernardino,909 / 840,"84,548",0.21%
821,92377,Standard,Rialto,San Bernardino,909 / 840,"20,734",0.05%
822,92378 ,P.O. Box,Rimforest,San Bernardino,909 / 840,677,0.00%
823,92382 ,P.O. Box,Running Springs,San Bernardino,909 / 840,"5,721",0.01%
824,92384 ,P.O. Box,Shoshone,Inyo,760 / 442,24,0.00%
825,92385 ,P.O. Box,Skyforest,San Bernardino,909 / 840,221,0.00%
826,92386 ,P.O. Box,Sugarloaf,San Bernardino,909 / 442 / 840,"2,477",0.01%
827,92389 ,P.O. Box,Tecopa,Inyo,760 / 442,123,0.00%
828,92391 ,P.O. Box,Twin Peaks,San Bernardino,909 / 840,"2,239",0.01%
829,92392,Standard,Victorville,San Bernardino,760 / 442,"62,294",0.16%
830,92393 ,P.O. Box,Victorville,San Bernardino,442 / 760 / 840 / 909,0,0.00%
831,92394,Standard,Victorville,San Bernardino,760 / 442,"41,057",0.10%
832,92395,Standard,Victorville,San Bernardino,442 / 760 / 840 / 909,"47,556",0.12%
833,92397,Standard,Wrightwood,San Bernardino,760 / 442,"5,485",0.01%
834,92398 ,P.O. Box,Yermo,San Bernardino,760 / 442,"1,234",0.00%
835,92399,Standard,Yucaipa,San Bernardino,840 / 909,"55,794",0.14%
836,92401,Standard,San Bernardino,San Bernardino,909 / 840 / 951,"2,016",0.01%
837,92402 ,P.O. Box,San Bernardino,San Bernardino,909 / 840 / 951,0,0.00%
838,92403,Standard,San Bernardino,San Bernardino,909 / 840 / 951,0,0.00%
839,92404,Standard,San Bernardino,San Bernardino,909 / 840,"64,270",0.16%
840,92405,Standard,San Bernardino,San Bernardino,909 / 840,"32,165",0.08%
841,92406 ,P.O. Box,San Bernardino,San Bernardino,909 / 840 / 951,0,0.00%
842,92407,Standard,San Bernardino,San Bernardino,909 / 442 / 760 / 840,"67,814",0.17%
843,92408,Standard,San Bernardino,San Bernardino,840 / 909,"13,488",0.03%
844,92410,Standard,San Bernardino,San Bernardino,909 / 840 / 951,"51,651",0.13%
845,92411,Standard,San Bernardino,San Bernardino,909 / 840,"27,014",0.07%
846,92413 ,P.O. Box,San Bernardino,San Bernardino,909 / 840 / 951,0,0.00%
847,92415 ,Unique,San Bernardino,San Bernardino,909 / 840 / 951,2,0.00%
848,92418 ,Unique,San Bernardino,San Bernardino,909 / 840 / 951,0,0.00%
849,92423 ,P.O. Box,San Bernardino,San Bernardino,909 / 840 / 951,0,0.00%
850,92427 ,P.O. Box,San Bernardino,San Bernardino,909 / 840 / 951,0,0.00%
851,92501,Standard,Riverside,Riverside,840 / 909 / 951,"22,017",0.06%
852,92502 ,P.O. Box,Riverside,Riverside,840 / 909 / 951,0,0.00%
853,92503,Standard,Riverside,Riverside,951,"90,011",0.23%
854,92504,Standard,Riverside,Riverside,840 / 909 / 951,"54,642",0.14%
855,92505,Standard,Riverside,Riverside,951,"50,919",0.13%
856,92506,Standard,Riverside,Riverside,840 / 909 / 951,"45,185",0.11%
857,92507,Standard,Riverside,Riverside,840 / 909 / 951,"63,191",0.16%
858,92508,Standard,Riverside,Riverside,840 / 909,"35,415",0.09%
859,92509,Standard,Jurupa Valley,Riverside,951,"78,166",0.20%
860,92513 ,P.O. Box,Riverside,Riverside,840 / 909 / 951,0,0.00%
861,92514 ,P.O. Box,Riverside,Riverside,840 / 909 / 951,0,0.00%
862,92516 ,P.O. Box,Riverside,Riverside,840 / 909 / 951,0,0.00%
863,92517 ,P.O. Box,Riverside,Riverside,840 / 909 / 951,0,0.00%
864,92518,Standard,March Air Reserve Base,Riverside,951,806,0.00%
865,92519 ,P.O. Box,Riverside,Riverside,840 / 909 / 951,0,0.00%
866,92521 ,Unique,Riverside,Riverside,840 / 909 / 951,40,0.00%
867,92522 ,Unique,Riverside,Riverside,840 / 909 / 951,0,0.00%
868,92530,Standard,Lake Elsinore,Riverside,951,"59,098",0.15%
869,92531 ,P.O. Box,Lake Elsinore,Riverside,951,0,0.00%
870,92532,Standard,Lake Elsinore,Riverside,951,"27,560",0.07%
871,92536,Standard,Aguanga,Riverside,951,"3,737",0.01%
872,92539,Standard,Anza,Riverside,951,"4,966",0.01%
873,92543,Standard,Hemet,Riverside,840 / 909 / 951,"39,323",0.10%
874,92544,Standard,Hemet,Riverside,840 / 909 / 951,"50,007",0.13%
875,92545,Standard,Hemet,Riverside,840 / 909 / 951,"44,072",0.11%
876,92546 ,P.O. Box,Hemet,Riverside,840 / 909 / 951,0,0.00%
877,92548,Standard,Homeland,Riverside,951,"7,408",0.02%
878,92549 ,P.O. Box,Idyllwild,Riverside,951,"4,234",0.01%
879,92551,Standard,Moreno Valley,Riverside,951,"34,294",0.09%
880,92552 ,P.O. Box,Moreno Valley,Riverside,951,0,0.00%
881,92553,Standard,Moreno Valley,Riverside,951,"76,761",0.19%
882,92554 ,P.O. Box,Moreno Valley,Riverside,951,0,0.00%
883,92555,Standard,Moreno Valley,Riverside,951,"43,580",0.11%
884,92556 ,P.O. Box,Moreno Valley,Riverside,909 / 840,0,0.00%
885,92557,Standard,Moreno Valley,Riverside,951,"54,549",0.14%
886,92561,Standard,Mountain Center,Riverside,442 / 760,"1,648",0.00%
887,92562,Standard,Murrieta,Riverside,951,"64,270",0.16%
888,92563,Standard,Murrieta,Riverside,951,"73,224",0.19%
889,92564 ,P.O. Box,Murrieta,Riverside,951,0,0.00%
890,92567,Standard,Nuevo,Riverside,951,"9,729",0.02%
891,92570,Standard,Perris,Riverside,951,"59,015",0.15%
892,92571,Standard,Perris,Riverside,951,"59,450",0.15%
893,92572 ,P.O. Box,Perris,Riverside,951,0,0.00%
894,92581 ,P.O. Box,San Jacinto,Riverside,840 / 909 / 951,0,0.00%
895,92582,Standard,San Jacinto,Riverside,951,"21,161",0.05%
896,92583,Standard,San Jacinto,Riverside,840 / 909 / 951,"34,674",0.09%
897,92584,Standard,Menifee,Riverside,951,"55,517",0.14%
898,92585,Standard,Menifee,Riverside,951,"24,887",0.06%
899,92586,Standard,Menifee,Riverside,951,"22,188",0.06%
900,92587,Standard,Menifee,Riverside,951,"17,529",0.04%
901,92589 ,P.O. Box,Temecula,Riverside,840 / 909 / 951,0,0.00%
902,92590,Standard,Temecula,Riverside,840 / 909 / 951,"4,840",0.01%
903,92591,Standard,Temecula,Riverside,840 / 909 / 951,"42,021",0.11%
904,92592,Standard,Temecula,Riverside,840 / 909 / 951,"79,740",0.20%
905,92593 ,P.O. Box,Temecula,Riverside,840 / 909 / 951,0,0.00%
906,92595,Standard,Wildomar,Riverside,951,"34,405",0.09%
907,92596,Standard,Winchester,Riverside,951,"31,081",0.08%
908,92599 ,Unique,Perris,Riverside,951,0,0.00%
909,92602,Standard,Irvine,Orange,949,"29,581",0.07%
910,92603,Standard,Irvine,Orange,949 / 714 / 657,"20,137",0.05%
911,92604,Standard,Irvine,Orange,949,"27,151",0.07%
912,92605 ,P.O. Box,Huntington Beach,Orange,657 / 714 / 562,0,0.00%
913,92606,Standard,Irvine,Orange,949 / 714,"23,383",0.06%
914,92607 ,P.O. Box,Laguna Niguel,Orange,949 / 714,0,0.00%
915,92609 ,P.O. Box,El Toro,Orange,949 / 714,0,0.00%
916,92610,Standard,Foothill Ranch,Orange,949,"12,545",0.03%
917,92612,Standard,Irvine,Orange,949 / 714,"31,822",0.08%
918,92614,Standard,Irvine,Orange,949 / 714,"28,456",0.07%
919,92615 ,P.O. Box,Huntington Beach,Orange,657 / 714 / 562,0,0.00%
920,92616 ,P.O. Box,Irvine,Orange,949 / 714,0,0.00%
921,92617,Standard,Irvine,Orange,949 / 714,"25,232",0.06%
922,92618,Standard,Irvine,Orange,949 / 657,"57,488",0.15%
923,92619 ,P.O. Box,Irvine,Orange,949 / 714,0,0.00%
924,92620,Standard,Irvine,Orange,949 / 657,"64,424",0.16%
925,92623 ,P.O. Box,Irvine,Orange,949 / 714,0,0.00%
926,92624,Standard,Capistrano Beach,Orange,949 / 714,"7,170",0.02%
927,92625,Standard,Corona Del Mar,Orange,949,"12,017",0.03%
928,92626,Standard,Costa Mesa,Orange,714 / 657 / 949 / 562,"50,885",0.13%
929,92627,Standard,Costa Mesa,Orange,949,"61,764",0.16%
930,92628 ,P.O. Box,Costa Mesa,Orange,949,0,0.00%
931,92629,Standard,Dana Point,Orange,949 / 714,"25,939",0.07%
932,92630,Standard,Lake Forest,Orange,949 / 714,"66,359",0.17%
933,92637,Standard,Laguna Woods,Orange,949 / 714,"17,644",0.04%
934,92646,Standard,Huntington Beach,Orange,657 / 714,"56,788",0.14%
935,92647,Standard,Huntington Beach,Orange,657 / 714 / 562,"60,455",0.15%
936,92648,Standard,Huntington Beach,Orange,657 / 714 / 562,"46,691",0.12%
937,92649,Standard,Huntington Beach,Orange,714 / 562,"34,082",0.09%
938,92650 ,P.O. Box,East Irvine,Orange,949 / 657,0,0.00%
939,92651,Standard,Laguna Beach,Orange,949 / 714,"24,096",0.06%
940,92652 ,P.O. Box,Laguna Beach,Orange,949 / 714,0,0.00%
941,92653,Standard,Laguna Hills,Orange,949 / 714,"30,077",0.08%
942,92654 ,P.O. Box,Laguna Hills,Orange,949 / 714,0,0.00%
943,92655,Standard,Midway City,Orange,714,"8,878",0.02%
944,92656,Standard,Aliso Viejo,Orange,949 / 714,"53,473",0.14%
945,92657,Standard,Newport Coast,Orange,949,"10,294",0.03%
946,92658 ,P.O. Box,Newport Beach,Orange,949,0,0.00%
947,92659 ,P.O. Box,Newport Beach,Orange,949,0,0.00%
948,92660,Standard,Newport Beach,Orange,949,"36,259",0.09%
949,92661,Standard,Newport Beach,Orange,949,"3,457",0.01%
950,92662,Standard,Newport Beach,Orange,949,"2,490",0.01%
951,92663,Standard,Newport Beach,Orange,949,"20,812",0.05%
952,92672,Standard,San Clemente,Orange,949,"41,067",0.10%
953,92673,Standard,San Clemente,Orange,949,"29,642",0.07%
954,92674 ,P.O. Box,San Clemente,Orange,949,0,0.00%
955,92675,Standard,San Juan Capistrano,Orange,949 / 714,"35,203",0.09%
956,92676,Standard,Silverado,Orange,657 / 714,"1,997",0.01%
957,92677,Standard,Laguna Niguel,Orange,949,"64,355",0.16%
958,92678 ,P.O. Box,Trabuco Canyon,Orange,949,651,0.00%
959,92679,Standard,Trabuco Canyon,Orange,949,"31,016",0.08%
960,92683,Standard,Westminster,Orange,657 / 714,"90,946",0.23%
961,92684 ,P.O. Box,Westminster,Orange,657 / 714,0,0.00%
962,92685 ,P.O. Box,Westminster,Orange,657 / 714,0,0.00%
963,92688,Standard,Rancho Santa Margarita,Orange,949,"44,688",0.11%
964,92690 ,P.O. Box,Mission Viejo,Orange,949 / 714,0,0.00%
965,92691,Standard,Mission Viejo,Orange,949 / 714,"47,918",0.12%
966,92692,Standard,Mission Viejo,Orange,949,"46,434",0.12%
967,92693 ,P.O. Box,San Juan Capistrano,Orange,949 / 714,0,0.00%
968,92694,Standard,Ladera Ranch,Orange,949,"36,637",0.09%
969,92697 ,Unique,Irvine,Orange,949 / 714,0,0.00%
970,92698 ,Unique,Aliso Viejo,Orange,949 / 714,0,0.00%
971,92701,Standard,Santa Ana,Orange,714 / 949 / 657 / 562,"48,789",0.12%
972,92702 ,P.O. Box,Santa Ana,Orange,714 / 949 / 657 / 562,0,0.00%
973,92703,Standard,Santa Ana,Orange,714 / 657,"65,621",0.17%
974,92704,Standard,Santa Ana,Orange,714 / 657,"82,841",0.21%
975,92705,Standard,Santa Ana,Orange,714 / 657,"45,902",0.12%
976,92706,Standard,Santa Ana,Orange,714 / 949 / 657,"35,621",0.09%
977,92707,Standard,Santa Ana,Orange,714 / 657 / 949 / 562,"56,456",0.14%
978,92708,Standard,Fountain Valley,Orange,714,"57,192",0.14%
979,92711 ,P.O. Box,Santa Ana,Orange,714 / 949 / 657 / 562,0,0.00%
980,92728 ,P.O. Box,Fountain Valley,Orange,714,0,0.00%
981,92735 ,P.O. Box,Santa Ana,Orange,714 / 949 / 657 / 562,0,0.00%
982,92780,Standard,Tustin,Orange,657,"56,034",0.14%
983,92781 ,P.O. Box,Tustin,Orange,657,0,0.00%
984,92782,Standard,Tustin,Orange,657,"29,266",0.07%
985,92799,Standard,Santa Ana,Orange,714 / 657 / 949 / 562,0,0.00%
986,92801,Standard,Anaheim,Orange,657 / 714 / 949,"63,163",0.16%
987,92802,Standard,Anaheim,Orange,562 / 657 / 714 / 840 / 909 / 949,"41,914",0.11%
988,92803 ,P.O. Box,Anaheim,Orange,562 / 626 / 714 / 840 / 909 / 949,0,0.00%
989,92804,Standard,Anaheim,Orange,657 / 714,"86,127",0.22%
990,92805,Standard,Anaheim,Orange,562 / 626 / 657 / 714 / 840 / 909 / 949,"74,633",0.19%
991,92806,Standard,Anaheim,Orange,562 / 626 / 657 / 714 / 840 / 909 / 949,"40,649",0.10%
992,92807,Standard,Anaheim,Orange,714,"37,627",0.10%
993,92808,Standard,Anaheim,Orange,714 / 657,"20,056",0.05%
994,92809,Standard,Anaheim,Orange,657 / 714 / 949,0,0.00%
995,92811 ,P.O. Box,Atwood,Orange,714 / 657,0,0.00%
996,92812 ,P.O. Box,Anaheim,Orange,562 / 626 / 714 / 840 / 909 / 949,0,0.00%
997,92814 ,P.O. Box,Anaheim,Orange,562 / 626 / 714 / 840 / 909 / 949,0,0.00%
998,92815 ,P.O. Box,Anaheim,Orange,562 / 626 / 714 / 840 / 909 / 949,0,0.00%
999,92816 ,P.O. Box,Anaheim,Orange,562 / 626 / 714 / 840 / 909 / 949,0,0.00%
1000,92817 ,P.O. Box,Anaheim,Orange,562 / 626 / 714 / 840 / 909 / 949,0,0.00%
1001,92821,Standard,Brea,Orange,714 / 657,"41,335",0.10%
1002,92822 ,P.O. Box,Brea,Orange,714 / 657,0,0.00%
1003,92823,Standard,Brea,Orange,714 / 657,"6,010",0.02%
1004,92825 ,P.O. Box,Anaheim,Orange,562 / 626 / 714 / 840 / 909 / 949,0,0.00%
1005,92831,Standard,Fullerton,Orange,714 / 657,"38,953",0.10%
1006,92832,Standard,Fullerton,Orange,714 / 657,"26,277",0.07%
1007,92833,Standard,Fullerton,Orange,657 / 714,"52,598",0.13%
1008,92834 ,P.O. Box,Fullerton,Orange,714 / 657,0,0.00%
1009,92835,Standard,Fullerton,Orange,714 / 657,"25,450",0.06%
1010,92836 ,P.O. Box,Fullerton,Orange,714 / 657,0,0.00%
1011,92837 ,P.O. Box,Fullerton,Orange,714 / 657,0,0.00%
1012,92838 ,P.O. Box,Fullerton,Orange,714 / 657,0,0.00%
1013,92840,Standard,Garden Grove,Orange,714 / 657,"54,365",0.14%
1014,92841,Standard,Garden Grove,Orange,657 / 714,"34,376",0.09%
1015,92842 ,P.O. Box,Garden Grove,Orange,714 / 657,0,0.00%
1016,92843,Standard,Garden Grove,Orange,714 / 657,"45,480",0.12%
1017,92844,Standard,Garden Grove,Orange,714 / 657,"23,668",0.06%
1018,92845,Standard,Garden Grove,Orange,657 / 714,"16,520",0.04%
1019,92846 ,P.O. Box,Garden Grove,Orange,714 / 657,0,0.00%
1020,92856 ,P.O. Box,Orange,Orange,657 / 714,0,0.00%
1021,92857 ,P.O. Box,Orange,Orange,657 / 714,0,0.00%
1022,92859 ,P.O. Box,Orange,Orange,657 / 714,0,0.00%
1023,92860,Standard,Norco,Riverside,840 / 909,"26,376",0.07%
1024,92861,Standard,Villa Park,Orange,714,"5,843",0.01%
1025,92862,Standard,Orange,Orange,714,0,0.00%
1026,92863 ,P.O. Box,Orange,Orange,657 / 714,0,0.00%
1027,92864 ,P.O. Box,Orange,Orange,657 / 714,0,0.00%
1028,92865,Standard,Orange,Orange,714,"20,859",0.05%
1029,92866,Standard,Orange,Orange,657 / 714,"15,935",0.04%
1030,92867,Standard,Orange,Orange,657 / 714,"44,927",0.11%
1031,92868,Standard,Orange,Orange,657 / 714 / 949,"27,127",0.07%
1032,92869,Standard,Orange,Orange,714,"36,349",0.09%
1033,92870,Standard,Placentia,Orange,714 / 657,"52,749",0.13%
1034,92871 ,P.O. Box,Placentia,Orange,714 / 657,0,0.00%
1035,92877 ,P.O. Box,Corona,Riverside,840 / 909 / 951,0,0.00%
1036,92878,Standard,Corona,Riverside,951,0,0.00%
1037,92879,Standard,Corona,Riverside,840 / 909 / 951,"47,243",0.12%
1038,92880,Standard,Eastvale,Riverside,840 / 909,"75,365",0.19%
1039,92881,Standard,Corona,Riverside,840 / 909 / 951,"31,590",0.08%
1040,92882,Standard,Corona,Riverside,840 / 909 / 951,"67,894",0.17%
1041,92883,Standard,Corona,Riverside,951,"34,836",0.09%
1042,92885 ,P.O. Box,Yorba Linda,Orange,714 / 657,0,0.00%
1043,92886,Standard,Yorba Linda,Orange,714 / 657,"50,001",0.13%
