year,zipcode, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non Cat Cov A Fire Claims , Non Cat Cov A Fire Losses , Non Cat Cov A Smoke Claims , Non Cat Cov A Smoke Losses , Non Cat Cov C Fire Claims , Non Cat Cov C Fire Losses , Non Cat Cov C Smoke Claims , Non Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
2018,90265," 24,413,613 "," 3,553 "," 2,217,819 "," 1,064,977 ", 3.44 ,,,,,,, 15 ," 2,848,265 ", 4 ," 129,328 ", 7 ," 452,713 ", 3 ," 40,147 ", 880 ," 505,714,380 ", 112 ," 10,075,632 ", 810 ," 204,603,564 ", 92 ," 5,048,433 "
2018,90266," 8,260,305 "," 4,547 "," 975,053 "," 593,559 ", 2.18 ,,,,,,, 1 ," 365,116 ", 0   , 0   , 3 ," 242,249 ", 0   , 0   , 1 ," 20,855 ", 0   , 0   , 1 ," 2,105 ", 0   , 0   
2018,90270," 378,477 ", 658 ," 254,367 "," 157,875 ", 2.59 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90272," 15,112,735 "," 3,649 "," 1,570,383 "," 898,437 ", 1.19 ,,,,,,, 0   , 0   , 0   , 0   , 1 ," 76,776 ", 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 93,164 ", 0   , 0   
2018,90274," 8,342,838 "," 3,879 "," 1,113,308 "," 682,895 ", 2.99 ,,,,,,, 4 ," 642,170 ", 0   , 0   , 3 ," 393,705 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90275," 7,602,417 "," 5,466 "," 684,004 "," 457,920 ", 2.94 ,,,,,,, 3 ," 71,873 ", 0   , 0   , 1 ," 1,849 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90277," 2,835,457 "," 2,474 "," 572,104 "," 379,381 ", 1.75 ,,,,,,, 1 ," 28,730 ", 0   , 0   , 1 ," 3,729 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90278," 2,903,968 "," 3,203 "," 427,532 "," 286,674 ", 1.98 ,,,,,,, 2 ," 119,048 ", 0   , 0   , 2 ," 47,430 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90280," 2,494,221 "," 4,053 "," 259,971 "," 166,140 ", 2.58 ,,,,,,, 2 ," 47,528 ", 0   , 0   , 1 ," 6,775 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90290," 1,439,359 ", 710 ," 672,571 "," 428,372 ", 3.34 ,,,,,,, 1 ," 3,150 ", 0   , 0   , 1 , 500 , 0   , 0   , 15 ," 38,963 ", 0   , 0   , 17 ," 15,270 ", 0   , 0   
2018,90291," 3,902,410 "," 2,613 "," 601,801 "," 370,431 ", 1.18 ,,,,,,, 1 ," 9,750 ", 0   , 0   , 1 ," 2,399 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90292," 1,337,340 ", 518 ," 1,103,349 "," 660,207 ", 1.30 ,,,,,,, 1 ," 15,620 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90293," 1,226,593 ", 705 ," 798,343 "," 517,805 ", 1.19 ,,,,,,, 1 ," 100,000 ", 0   , 0   , 1 ," 30,949 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90301," 820,129 "," 1,132 "," 293,913 "," 184,899 ", 2.53 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90302," 912,028 "," 1,139 "," 310,201 "," 198,850 ", 2.57 ,,,,,,, 2 ," 42,882 ", 0   , 0   , 2 ," 80,881 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90303," 1,160,705 "," 1,462 "," 312,052 "," 199,100 ", 2.60 ,,,,,,, 2 ," 299,853 ", 0   , 0   , 1 ," 250,426 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90304," 673,261 ", 959 ," 265,082 "," 170,791 ", 2.50 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90305," 1,646,835 "," 1,770 "," 383,919 "," 247,134 ", 2.54 ,,,,,,, 2 ," 111,800 ", 2 ," 23,503 ", 3 ," 105,001 ", 1 , 373 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90401," 108,605 ", 43 ," 1,036,182 "," 598,571 ", 1.32 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90402," 7,819,799 "," 1,932 "," 1,746,939 "," 994,374 ", 1.18 ,,,,,,, 1 ," 130,204 ", 1 ," 32,782 ", 1 ," 31,561 ", 1 ," 6,117 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90403," 1,162,976 ", 578 ," 882,949 "," 531,073 ", 1.15 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90404," 332,137 ", 328 ," 380,152 "," 234,347 ", 1.15 ,,,,,,, 2 ," 11,756 ", 0   , 0   , 1 ," 11,717 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90405," 2,595,413 "," 1,907 "," 565,216 "," 366,873 ", 1.12 ,,,,,,, 1 ," 23,167 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 1 ," 21,315 ", 0   , 0   
2018,90501," 1,954,413 "," 2,518 "," 371,158 "," 254,012 ", 1.13 ,,,,,,, 1 ," 333,367 ", 0   , 0   , 1 ," 95,894 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90502," 857,960 "," 1,312 "," 294,841 "," 201,594 ", 2.27 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90503," 2,434,594 "," 2,923 "," 403,842 "," 276,522 ", 1.17 ,,,,,,, 4 ," 168,714 ", 0   , 0   , 2 ," 20,856 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90504," 2,093,598 "," 2,955 "," 344,438 "," 236,463 ", 1.13 ,,,,,,, 2 ," 310,855 ", 0   , 0   , 2 ," 389,359 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90505," 2,891,003 "," 3,167 "," 440,579 "," 303,541 ", 1.15 ,,,,,,, 2 ," 1,869,723 ", 0   , 0   , 2 ," 797,240 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90601," 2,882,748 "," 3,066 "," 385,853 "," 262,904 ", 2.59 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90602," 1,324,061 "," 1,515 "," 358,704 "," 242,220 ", 2.59 ,,,,,,, 2 ," 115,343 ", 0   , 0   , 1 ," 74,177 ", 0   , 0   , 1 ," 19,841 ", 0   , 0   , 0   , 0   , 0   , 0   
2018,90603," 2,082,463 "," 2,348 "," 387,088 "," 266,844 ", 2.57 ,,,,,,, 0   , 0   , 1 ," 8,972 ", 0   , 0   , 1 , 48 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90604," 2,749,688 "," 3,987 "," 315,149 "," 216,500 ", 2.58 ,,,,,,, 1 ," 175,000 ", 0   , 0   , 2 ," 81,859 ", 0   , 0   , 1 ," 77,949 ", 0   , 0   , 1 ," 24,653 ", 0   , 0   
2018,90605," 2,994,125 "," 3,749 "," 334,799 "," 225,704 ", 2.57 ,,,,,,, 1 ," 1,181 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90606," 1,928,369 "," 2,947 "," 277,568 "," 183,175 ", 2.56 ,,,,,,, 3 ," 93,472 ", 0   , 0   , 5 ," 55,512 ", 0   , 0   , 1 ," 2,888 ", 0   , 0   , 1 ," 2,520 ", 0   , 0   
2018,90638," 4,399,720 "," 5,668 "," 352,149 "," 240,401 ", 2.57 ,,,,,,, 5 ," 137,262 ", 0   , 0   , 4 ," 48,900 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90640," 2,841,994 "," 3,989 "," 344,746 "," 227,412 ", 2.98 ,,,,,,, 4 ," 324,067 ", 0   , 0   , 3 ," 214,097 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90650," 5,592,218 "," 9,530 "," 261,179 "," 174,897 ", 2.01 ,,,,,,, 6 ," 146,841 ", 1 ," 17,874 ", 3 ," 46,296 ", 1 ," 38,653 ", 1 ," 63,220 ", 0   , 0   , 1 ," 71,467 ", 0   , 0   
2018,90660," 3,342,395 "," 5,263 "," 278,988 "," 182,535 ", 2.58 ,,,,,,, 3 ," 750,335 ", 1 , 0   , 3 ," 270,676 ", 1 , 0   , 1 ," 16,092 ", 0   , 0   , 1 ," 6,030 ", 0   , 0   
2018,90670," 1,024,798 "," 1,550 "," 291,126 "," 196,412 ", 2.01 ,,,,,,, 2 ," 65,329 ", 0   , 0   , 3 ," 102,403 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90701," 995,304 "," 1,330 "," 354,305 "," 243,397 ", 2.08 ,,,,,,, 2 ," 387,753 ", 0   , 0   , 2 ," 255,492 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90703," 5,162,270 "," 6,186 "," 399,296 "," 279,215 ", 2.02 ,,,,,,, 6 ," 566,115 ", 0   , 0   , 5 ," 105,103 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90704," 352,248 ", 168 ," 616,000 "," 361,091 ", 4.30 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90706," 2,834,565 "," 4,260 "," 307,568 "," 207,398 ", 2.03 ,,,,,,, 5 ," 259,898 ", 0   , 0   , 5 ," 150,483 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90710," 1,293,087 "," 1,592 "," 372,123 "," 252,965 ", 1.59 ,,,,,,, 1 ," 15,668 ", 0   , 0   , 1 ," 12,505 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90712," 2,734,510 "," 4,336 "," 316,273 "," 214,232 ", 2.06 ,,,,,,, 4 ," 325,097 ", 0   , 0   , 4 ," 237,766 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90713," 2,406,888 "," 3,906 "," 302,708 "," 206,258 ", 2.04 ,,,,,,, 2 ," 41,169 ", 0   , 0   , 1 ," 5,420 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90715," 991,811 "," 1,614 "," 290,527 "," 197,326 ", 2.08 ,,,,,,, 3 ," 308,490 ", 0   , 0   , 2 ," 26,224 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90716," 338,797 ", 573 ," 243,241 "," 156,691 ", 2.08 ,,,,,,, 1 ," 29,266 ", 0   , 0   , 1 ," 6,328 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90717," 1,062,469 "," 1,361 "," 376,107 "," 259,286 ", 2.66 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90723," 1,049,944 "," 1,817 "," 263,641 "," 171,276 ", 2.02 ,,,,,,, 2 ," 41,622 ", 0   , 0   , 2 ," 64,214 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90731," 2,758,918 "," 3,321 "," 367,068 "," 241,773 ", 1.30 ,,,,,,, 1 , 0   , 0   , 0   , 1 ," 9,727 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90732," 1,810,921 "," 1,967 "," 432,037 "," 294,630 ", 1.27 ,,,,,,, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90744," 1,689,020 "," 2,475 "," 275,155 "," 184,979 ", 1.14 ,,,,,,, 2 ," 45,864 ", 0   , 0   , 2 ," 28,040 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90745," 3,187,698 "," 4,647 "," 307,825 "," 209,045 ", 2.28 ,,,,,,, 2 ," 61,612 ", 0   , 0   , 2 ," 25,310 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90746," 3,318,596 "," 3,615 "," 351,732 "," 236,494 ", 2.27 ,,,,,,, 7 ," 377,785 ", 0   , 0   , 4 ," 322,558 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90755," 577,492 ", 615 ," 453,222 "," 307,151 ", 2.48 ,,,,,,, 0   , 0   , 1 ," 20,582 ", 0   , 0   , 1 ," 2,728 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90802," 199,192 ", 269 ," 349,106 "," 223,147 ", 1.98 ,,,,,,, 1 ," 371,925 ", 0   , 0   , 1 ," 250,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90803," 3,748,525 "," 3,120 "," 617,217 "," 410,868 ", 2.03 ,,,,,,, 1 ," 450,001 ", 0   , 0   , 1 ," 100,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90804," 807,130 "," 1,196 "," 317,344 "," 211,640 ", 2.01 ,,,,,,, 0   , 0   , 0   , 0   , 1 , 50 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90805," 3,546,969 "," 5,738 "," 262,016 "," 168,126 ", 2.01 ,,,,,,, 6 ," 332,354 ", 0   , 0   , 6 ," 188,814 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90806," 1,499,787 "," 2,320 "," 307,119 "," 202,946 ", 2.02 ,,,,,,, 1 , 600 , 0   , 0   , 1 ," 55,604 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90807," 3,040,713 "," 3,505 "," 432,022 "," 291,226 ", 2.00 ,,,,,,, 3 ," 485,565 ", 0   , 0   , 2 ," 48,777 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
2018,90808," 4,229,152 "," 5,758 "," 352,929 "," 239,562 ", 2.00 ,,,,,,, 2 ," 55,299 ", 1 , 0   , 1 ," 3,000 ", 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
