ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,FHSZ_mean,FHSZ_majority
"95320","95320",860Z200US95320,B5,G6350,S,"229806293","1404766","+37.8185555","-121.0069049",0.000000,0.000000
"95825","95825",860Z200US95825,B5,G6350,S,"12057925","166080","+38.5918966","-121.4084670",0.000000,0.000000
"95864","95864",860Z200US95864,B5,G6350,S,"16264854","598479","+38.5840466","-121.3758456",0.000000,0.000000
"93206","93206",860Z200US93206,B5,G6350,S,"424368397","564556","+35.4439125","-119.4791356",0.000000,0.000000
"93501","93501",860Z200US93501,B5,G6350,S,"575003027","269612","+35.0657979","-118.2217816",1.818182,2.000000
"93516","93516",860Z200US93516,B5,G6350,S,"73997241","0","+35.0081317","-117.6425627",0.000000,0.000000
"95815","95815",860Z200US95815,B5,G6350,S,"19821310","435522","+38.6056281","-121.4454529",0.000000,0.000000
"92401","92401",860Z200US92401,B5,G6350,S,"1761503","0","+34.1059063","-117.2918137",0.000000,0.000000
"93628","93628",860Z200US93628,B5,G6350,S,"162446686","346818","+36.7708436","-118.8484992",2.090909,2.000000
"93226","93226",860Z200US93226,B5,G6350,S,"196723123","170980","+35.7356519","-118.7383731",2.166667,2.000000
"93561","93561",860Z200US93561,B5,G6350,S,"781715841","732805","+35.0986663","-118.5167064",1.875000,1.000000
"93740","93740",860Z200US93740,B5,G6350,S,"2263790","0","+36.8163814","-119.7461153",0.000000,0.000000
"91304","91304",860Z200US91304,B5,G6350,S,"25193105","46911","+34.2277906","-118.6446066",3.000000,3.000000
"95621","95621",860Z200US95621,B5,G6350,S,"17289143","0","+38.6954940","-121.3086239",0.000000,0.000000
"93624","93624",860Z200US93624,B5,G6350,S,"373309108","384816","+36.3785454","-120.1301511",0.000000,0.000000
"92126","92126",860Z200US92126,B5,G6350,S,"30008698","0","+32.9119903","-117.1434214",3.000000,3.000000
"92392","92392",860Z200US92392,B5,G6350,S,"96582452","0","+34.4790151","-117.4088340",1.000000,1.000000
"95936","95936",860Z200US95936,B5,G6350,S,"113778810","108862","+39.5807559","-120.7743459",3.000000,3.000000
