fid,ZCTA5CE20,GEOID20,GEOIDFQ20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,zip_area,GEOID20_2,FHSZ_avg_rating
894,"95965","95965",860Z200US95965,B5,G6350,S,806577111,59510601,"+39.5939448","-121.5813626",866087765.072749,"95965",1.19861759909218
895,"93463","93463",860Z200US93463,B5,G6350,S,87798123,429947,"+34.6064223","-120.1354308",88228086.6250153,"93463",2.08098484868784
896,"92835","92835",860Z200US92835,B5,G6350,S,14818034,32825,"+33.9005730","-117.9146673",14850849.7709614,"92835",0.1639505744451
897,"93254","93254",860Z200US93254,B5,G6350,S,520380968,4755822,"+34.9462184","-119.8028365",525136850.834348,"93254",1.27199343554278
898,"93252","93252",860Z200US93252,B5,G6350,S,1156539478,15766614,"+34.8028829","-119.3592674",1172306159.52396,"93252",0.448316240607696
899,"95930","95930",860Z200US95930,B5,G6350,S,19446127,189532,"+39.5487154","-121.1598784",19635663.2649914,"95930",2.91568289928996
900,"93703","93703",860Z200US93703,B5,G6350,S,12330831,0,"+36.7688556","-119.7624110",12330830.7506325,,0
901,"95364","95364",860Z200US95364,B5,G6350,S,510421491,8152131,"+38.2247004","-119.7599789",518573622.92957,"95364",0.0118150066592127
902,"92377","92377",860Z200US92377,B5,G6350,S,18635607,0,"+34.1523635","-117.4040683",18635605.1005839,"92377",0.956558976447914
903,"95326","95326",860Z200US95326,B5,G6350,S,68637306,822400,"+37.5890984","-120.8554355",69459713.0447614,,0
904,"92120","92120",860Z200US92120,B5,G6350,S,19892453,2147,"+32.7939936","-117.0737962",19894592.1119985,"92120",1.54136040286605
905,"95379","95379",860Z200US95379,B5,G6350,S,67042399,312197,"+37.9663858","-120.2126481",67354599.6483351,"95379",1.55110828801397
906,"95323","95323",860Z200US95323,B5,G6350,S,81094421,1159674,"+37.6045359","-120.6836897",82254104.5651274,,0
907,"93238","93238",860Z200US93238,B5,G6350,S,283904103,18065273,"+35.8507724","-118.4977096",301969410.555583,"93238",0.305350067512769
908,"93704","93704",860Z200US93704,B5,G6350,S,13975540,36443,"+36.8003098","-119.8009064",14011986.5245424,,0
909,"95207","95207",860Z200US95207,B5,G6350,S,18766717,470555,"+38.0021250","-121.3249787",19237268.1886341,,0
910,"93313","93313",860Z200US93313,B5,G6350,S,260452907,183787,"+35.1654492","-119.0435141",260636700.597893,"93313",2.34158393659226e-06
911,"95387","95387",860Z200US95387,B5,G6350,S,55741515,0,"+37.5543749","-121.2446513",55741517.9977662,"95387",0.0335671750107166
912,"93434","93434",860Z200US93434,B5,G6350,S,59066121,1465930,"+34.9402685","-120.6200700",60532051.9673209,"93434",1.24753766002908
913,"93711","93711",860Z200US93711,B5,G6350,S,29049303,1001837,"+36.8365513","-119.8338493",30051141.5215032,,0
914,"95641","95641",860Z200US95641,B5,G6350,S,108737211,7179440,"+38.1555709","-121.6048157",115916653.72522,,0
915,"94505","94505",860Z200US94505,B5,G6350,S,43179650,15006170,"+37.8712683","-121.5969840",58185821.6884183,,0
916,"93606","93606",860Z200US93606,B5,G6350,S,1792524,0,"+36.7987146","-120.0162735",1792523.08157099,,0
917,"92101","92101",860Z200US92101,B5,G6350,S,13950468,14646757,"+32.7178067","-117.1720862",28597228.2300074,"92101",0.255829579988366
918,"93283","93283",860Z200US93283,B5,G6350,S,676274740,2532610,"+35.5920994","-118.2976983",678807398.464028,"93283",0.558163697836509
919,"93710","93710",860Z200US93710,B5,G6350,S,15986867,40144,"+36.8241049","-119.7627096",16027008.8852371,,0
920,"92404","92404",860Z200US92404,B5,G6350,S,81804862,0,"+34.1786334","-117.2389262",81804843.7139576,"92404",0.574923126698445
921,"95376","95376",860Z200US95376,B5,G6350,S,19726920,0,"+37.7368187","-121.4339976",19726921.8669659,,0
922,"93664","93664",860Z200US93664,B5,G6350,S,487237059,8876046,"+37.0498214","-119.1907259",496113159.097948,"93664",0.6616504953053
923,"93675","93675",860Z200US93675,B5,G6350,S,257178857,161455,"+36.7247235","-119.1927785",257340334.499242,"93675",2.31764001959582
924,"93554","93554",860Z200US93554,B5,G6350,S,349828757,135465,"+35.3692181","-117.7591260",349964241.833758,,0
925,"93255","93255",860Z200US93255,B5,G6350,S,616305033,120128,"+35.6773299","-118.1014170",616425246.526802,"93255",0.228434717372683
926,"93605","93605",860Z200US93605,B5,G6350,S,38482316,0,"+37.1762192","-119.2495234",38482316.517412,"93605",0.842400832576108
927,"93667","93667",860Z200US93667,B5,G6350,S,304965972,2269233,"+36.9656631","-119.3168354",307235248.699325,"93667",1.23534596116069
928,"93064","93064",860Z200US93064,B5,G6350,S,17131449,0,"+34.2452721","-118.6998492",17131450.4249879,"93064",2.74818946576698
929,"92121","92121",860Z200US92121,B5,G6350,S,32475652,61317,"+32.8971234","-117.2016472",32536973.6169981,"92121",2.19096449036425
930,"92123","92123",860Z200US92123,B5,G6350,S,22303299,0,"+32.8096148","-117.1342012",22303294.4757642,"92123",1.18560155029893
931,"96126","96126",860Z200US96126,B5,G6350,S,74397281,60186,"+39.5497256","-120.4035792",74457471.1180886,"96126",1.10068870868668
932,"95615","95615",860Z200US95615,B5,G6350,S,54793375,1401524,"+38.3107553","-121.5418167",56194902.0135477,,0
933,"95680","95680",860Z200US95680,B5,G6350,S,6031415,0,"+38.2414116","-121.5783198",6031415.57018606,,0
934,"92320","92320",860Z200US92320,B5,G6350,S,36140313,0,"+33.9873802","-117.0502845",36140310.733253,"92320",1.36295057306301
935,"95573","95573",860Z200US95573,B5,G6350,S,310762053,1808724,"+40.9149256","-123.6687235",312570821.848325,"95573",1.05767899024174
936,"93623","93623",860Z200US93623,B5,G6350,S,48520770,32596,"+37.4765962","-119.6744327",48553366.5361935,"93623",0.923269916462381
937,"90064","90064",860Z200US90064,B5,G6350,S,9646305,3034,"+34.0353095","-118.4264862",9649339.70253462,,0
938,"91411","91411",860Z200US91411,B5,G6350,S,5054787,0,"+34.1785171","-118.4596299",5054787.09537828,,0
939,"93656","93656",860Z200US93656,B5,G6350,S,293243098,15365,"+36.4509441","-119.9368187",293258475.396589,,0
940,"95955","95955",860Z200US95955,B5,G6350,S,339115368,134332,"+39.2945158","-122.2017152",339249727.029992,"95955",0.364311242109723
941,"94515","94515",860Z200US94515,B5,G6350,S,301468053,406236,"+38.6357177","-122.6150850",301874336.912765,"94515",2.53289282623968
942,"91335","91335",860Z200US91335,B5,G6350,S,17006684,80913,"+34.2001746","-118.5409577",17087586.2554773,,0
943,"95321","95321",860Z200US95321,B5,G6350,S,1163150893,18995403,"+37.9316913","-119.8361513",1182146361.32026,"95321",0.257263128931294
944,"95254","95254",860Z200US95254,B5,G6350,S,12629793,6972905,"+38.1998379","-120.9642416",19602701.4473947,"95254",1.73524095179437
945,"95975","95975",860Z200US95975,B5,G6350,S,24445663,0,"+39.2243254","-121.1536959",24445662.923872,"95975",2.41943881493745
946,"95236","95236",860Z200US95236,B5,G6350,S,330277595,2060831,"+38.0442710","-121.0392543",332338460.085546,"95236",0.499952905126557
947,"95245","95245",860Z200US95245,B5,G6350,S,180806349,221375,"+38.3027468","-120.6094652",181027739.417365,"95245",2.57144108770785
948,"96129","96129",860Z200US96129,B5,G6350,S,300440000,41747,"+39.8351218","-120.3600494",300481757.491528,"96129",0.554857703617419
949,"94586","94586",860Z200US94586,B5,G6350,S,144330278,2825268,"+37.5671254","-121.8522460",147155557.041741,"94586",2.08496024392422
950,"95816","95816",860Z200US95816,B5,G6350,S,7066882,182673,"+38.5754073","-121.4648034",7249552.46075615,,0
951,"96029","96029",860Z200US96029,B5,G6350,S,63141302,132179,"+39.9392965","-122.4891914",63273483.4535129,"96029",2.00871906092263
952,"95979","95979",860Z200US95979,B5,G6350,S,606594317,7045352,"+39.2903018","-122.4755189",613639693.604646,"95979",1.60932738595778
953,"93513","93513",860Z200US93513,B5,G6350,S,1027602246,3966284,"+37.0361398","-118.3356711",1031568569.45765,"93513",0.127730900078725
954,"93036","93036",860Z200US93036,B5,G6350,S,46099393,2565478,"+34.2481409","-119.1534542",48664867.4570256,"93036",0.437415365256615
955,"93060","93060",860Z200US93060,B5,G6350,S,239435430,1832925,"+34.3720307","-119.0966947",241268362.383206,"93060",2.2628578443615
956,"90706","90706",860Z200US90706,B5,G6350,S,15812530,129197,"+33.8878214","-118.1272504",15941727.7269656,,0
957,"96110","96110",860Z200US96110,B5,G6350,S,305476121,467006,"+41.2419175","-120.1246288",305943194.053247,"96110",0.207289723361005
958,"95983","95983",860Z200US95983,B5,G6350,S,221001665,0,"+40.0582609","-120.7389324",221001710.946991,"95983",0.596387959698498
959,"90270","90270",860Z200US90270,B5,G6350,S,3080014,0,"+33.9885572","-118.1876880",3080015.16134864,,0
960,"90402","90402",860Z200US90402,B5,G6350,S,5289316,326896,"+34.0346660","-118.5040391",5616207.3504704,"90402",0.723629717975124
961,"96050","96050",860Z200US96050,B5,G6350,S,669933796,2062823,"+41.8534715","-122.9510152",671996672.219664,"96050",1.1448931559831
962,"95350","95350",860Z200US95350,B5,G6350,S,22884221,0,"+37.6717296","-121.0072847",22884220.2947735,,0
963,"95526","95526",860Z200US95526,B5,G6350,S,326763083,450501,"+40.4615284","-123.6764866",327213603.524545,"95526",2.24839983961265
964,"90504","90504",860Z200US90504,B5,G6350,S,11422484,44704,"+33.8672804","-118.3316422",11467189.2748428,,0
965,"90210","90210",860Z200US90210,B5,G6350,S,27838093,139467,"+34.1005166","-118.4146299",27977561.5063637,"90210",2.36428106320898
966,"92328","92328",860Z200US92328,B5,G6350,S,4593487471,5735576,"+36.3717851","-116.9797639",4599223231.57016,,0
967,"92384","92384",860Z200US92384,B5,G6350,S,600532645,618,"+36.0433376","-116.1191681",600533307.839416,,0
968,"93527","93527",860Z200US93527,B5,G6350,S,907059314,682150,"+35.9229319","-118.0789360",907741535.672895,"93527",0.158588760957164
969,"91784","91784",860Z200US91784,B5,G6350,S,23673022,504270,"+34.1411459","-117.6555828",24177287.7193912,"91784",0.732703995970684
970,"93022","93022",860Z200US93022,B5,G6350,S,8130252,0,"+34.4032764","-119.2983551",8130250.91557471,"93022",2.32221034376567
971,"95341","95341",860Z200US95341,B5,G6350,S,380275294,3663504,"+37.2310450","-120.5010724",383938822.862563,,0
972,"95960","95960",860Z200US95960,B5,G6350,S,107746051,353395,"+39.4414426","-121.0166256",108099450.109079,"95960",2.13495202774264
973,"96090","96090",860Z200US96090,B5,G6350,S,7920842,407251,"+40.0073509","-122.1193386",8328094.99499134,,0
974,"95333","95333",860Z200US95333,B5,G6350,S,316819096,0,"+37.2446736","-120.2427411",316819106.391969,"95333",0.546830358711068
975,"90631","90631",860Z200US90631,B5,G6350,S,36206738,8409,"+33.9427081","-117.9524832",36215148.14224,"90631",0.882701961621629
976,"93622","93622",860Z200US93622,B5,G6350,S,1179346795,5613930,"+36.7856176","-120.6253823",1184960760.5217,"93622",0.305346516327533
977,"93274","93274",860Z200US93274,B5,G6350,S,567831665,1457938,"+36.1779345","-119.3799754",569289600.497115,,0
978,"93460","93460",860Z200US93460,B5,G6350,S,569974655,126912,"+34.6733168","-119.7436158",570101594.700689,"93460",1.17596113971181
979,"95969","95969",860Z200US95969,B5,G6350,S,131309459,827762,"+39.7207419","-121.6386630",132137224.812069,"95969",2.64626879399973
980,"93737","93737",860Z200US93737,B5,G6350,S,25284451,0,"+36.7536136","-119.6455810",25284446.8537611,,0
981,"93635","93635",860Z200US93635,B5,G6350,S,1012000337,16976005,"+37.0201870","-120.8817002",1028976406.21142,"93635",0.769725888999461
982,"92115","92115",860Z200US92115,B5,G6350,S,15978799,0,"+32.7615490","-117.0719048",15978801.6907584,"92115",0.621715830702828
983,"95319","95319",860Z200US95319,B5,G6350,S,6540013,162336,"+37.6290045","-120.8851310",6702348.86231762,,0
984,"95958","95958",860Z200US95958,B5,G6350,S,17227836,0,"+39.5642039","-121.7979375",17227832.4137261,,0
985,"93266","93266",860Z200US93266,B5,G6350,S,153617338,0,"+36.1717293","-119.8563037",153617345.157887,,0
986,"95383","95383",860Z200US95383,B5,G6350,S,171514547,625530,"+38.0929947","-120.2328071",172140083.781213,"95383",1.0360886407216
987,"91737","91737",860Z200US91737,B5,G6350,S,26133233,0,"+34.1552382","-117.5780972",26133241.214934,"91737",1.76379081568916
988,"95335","95335",860Z200US95335,B5,G6350,S,106357825,154692,"+38.1248866","-120.0931460",106512532.559258,"95335",0.76779858863205
989,"93030","93030",860Z200US93030,B5,G6350,S,36552014,0,"+34.2050972","-119.1753202",36552010.1873742,,0
990,"95307","95307",860Z200US95307,B5,G6350,S,85014475,0,"+37.5558092","-120.9538524",85014486.3722221,,0
991,"91945","91945",860Z200US91945,B5,G6350,S,10237991,0,"+32.7331472","-117.0340676",10237990.7331946,"91945",0.0128728920249895
992,"95210","95210",860Z200US95210,B5,G6350,S,19694712,208110,"+38.0317856","-121.2978857",19902823.8319691,,0
993,"95974","95974",860Z200US95974,B5,G6350,S,1079534,0,"+39.4972966","-121.7556978",1079534.59353471,,0
994,"93741","93741",860Z200US93741,B5,G6350,S,296849,0,"+36.7674305","-119.7960355",296849.01571664,,0
995,"93219","93219",860Z200US93219,B5,G6350,S,266575588,266703,"+35.8882375","-119.2949573",266842299.288212,,0
996,"92410","92410",860Z200US92410,B5,G6350,S,21329793,59472,"+34.1115753","-117.2636914",21389264.5131666,,0
997,"95832","95832",860Z200US95832,B5,G6350,S,21541683,1439050,"+38.4474133","-121.4961382",22980731.499559,,0
998,"93222","93222",860Z200US93222,B5,G6350,S,281039737,17200,"+34.8862449","-119.2204359",281056991.034369,"93222",0.958747623815745
999,"95831","95831",860Z200US95831,B5,G6350,S,18117261,1385071,"+38.4957873","-121.5302555",19502330.8728442,,0
1000,"95968","95968",860Z200US95968,B5,G6350,S,4657660,0,"+39.4351775","-121.5517794",4657659.63864234,"95968",0.113486671272048
1001,"95305","95305",860Z200US95305,B5,G6350,S,150894738,5814410,"+37.8159268","-120.3610921",156709170.799721,"95305",1.81866043786606
1002,"95632","95632",860Z200US95632,B5,G6350,S,293343192,1639331,"+38.2744509","-121.2592009",294982557.422911,"95632",0.197415943757567
1003,"95686","95686",860Z200US95686,B5,G6350,S,83899326,3536488,"+38.1577939","-121.5202225",87435832.1351795,,0
1004,"95258","95258",860Z200US95258,B5,G6350,S,8337128,377326,"+38.1720647","-121.3089147",8714455.64068566,,0
1005,"92136","92136",860Z200US92136,B5,G6350,S,2466539,754643,"+32.6830131","-117.1229782",3221178.08922911,,0
1006,"92405","92405",860Z200US92405,B5,G6350,S,12976890,0,"+34.1457811","-117.3022171",12976889.351313,"92405",0.699702307348192
1007,"90260","90260",860Z200US90260,B5,G6350,S,6398470,39070,"+33.8885344","-118.3495638",6437545.47875141,,0
1008,"90401","90401",860Z200US90401,B5,G6350,S,1954199,0,"+34.0160989","-118.4924539",1954200.65523288,,0
1009,"96014","96014",860Z200US96014,B5,G6350,S,400738579,1444059,"+41.3881347","-122.7808581",402182661.488212,"96014",2.1740693004657
1010,"95358","95358",860Z200US95358,B5,G6350,S,301147625,7108458,"+37.6116343","-121.1078579",308256094.14009,,0
1011,"90250","90250",860Z200US90250,B5,G6350,S,17529205,15608,"+33.9136508","-118.3509460",17544823.3182964,,0
1012,"95206","95206",860Z200US95206,B5,G6350,S,345090125,7198181,"+37.9084709","-121.3953057",352288328.699941,,0
1013,"96031","96031",860Z200US96031,B5,G6350,S,815664733,1770717,"+41.1756244","-123.1981763",817435491.276538,"96031",0.0362931624186918
1014,"95521","95521",860Z200US95521,B5,G6350,S,156342600,28879796,"+40.8433563","-124.0453337",185222401.401585,"95521",0.789724724002946
1015,"95451","95451",860Z200US95451,B5,G6350,S,240510691,25355683,"+38.9221361","-122.7895645",265866384.631215,"95451",2.29772316691265
1016,"95928","95928",860Z200US95928,B5,G6350,S,376520513,5978958,"+39.6814875","-121.8372104",382499498.636057,"95928",0.786261510671935
1017,"93220","93220",860Z200US93220,B5,G6350,S,71072360,1428,"+35.3787350","-118.7818450",71073794.7473857,"93220",1.53907937823816
1018,"95317","95317",860Z200US95317,B5,G6350,S,119625459,241297,"+37.1273801","-120.5064331",119866762.402528,,0
